system:index,Date,NDVI,NDWI,S1,SI5,Sampling,.geo
1_00000000000000000000_0,2016-06-01,0.24270728,-0.28308606,-11.708020197072237,0.3399187402894992,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002_0,2016-06-01,0.20101352,-0.26681516,-9.18121694480759,0.35437480158724605,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004_0,2016-06-01,0.24860582,-0.30631045,-8.937554353792237,0.3233623354690524,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006_0,2016-06-01,0.25004238,-0.28154328,-12.630787142472386,0.28831746391781404,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008_0,2016-06-01,0.2118714,-0.25512296,-11.221171879076838,0.3100416101106431,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a_0,2016-06-01,0.114639275,-0.17832902,-12.025797580616056,0.4276985854547569,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,2016-06-01,0.21968003,-0.2550894,-12.031993668605047,0.28974129840255775,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e_0,2016-06-01,0.2217859,-0.2556589,-13.050884634565243,0.2973254277723316,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010_0,2016-06-01,0.18915409,-0.23988488,-12.842878065550396,0.32223864603737395,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000_0,2016-08-01,0.21774194,-0.27657005,-15.887458340909768,0.36012358989657983,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002_0,2016-08-01,0.1519132,-0.24314329,-14.480029617953207,0.38257234609940116,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004_0,2016-08-01,0.20334429,-0.28221443,-15.278106144338565,0.3441014966546934,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006_0,2016-08-01,0.22661263,-0.27349228,-12.981673638647706,0.29534065077466054,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008_0,2016-08-01,0.20376597,-0.25569975,-15.105641665692243,0.3088797824397058,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a_0,2016-08-01,0.1296247,-0.20294784,-15.869669739225905,0.3903613710397073,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000c_0,2016-08-01,0.21048851,-0.25372022,-15.064587756722485,0.28250553976869197,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000e_0,2016-08-01,0.22411348,-0.25117797,-14.32403426450981,0.2886882747878757,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000010_0,2016-08-01,0.18720853,-0.24484806,-17.643872196040956,0.3172153842423157,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000_0,2017-05-01,0.32769167,-0.37623763,-11.797027983147863,0.2729704562768652,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002_0,2017-05-01,0.26535904,-0.34342998,-11.245533531321547,0.2925522517431715,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004_0,2017-05-01,0.3083312,-0.3667263,-11.954077209008165,0.26665819882388764,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006_0,2017-05-01,0.2925673,-0.35137278,-13.91920926050016,0.2459637473287476,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008_0,2017-05-01,0.25273502,-0.3174727,-13.263054704062881,0.2631836336096909,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000a_0,2017-05-01,0.1965019,-0.27390495,-14.253540440322318,0.309484716908606,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000c_0,2017-05-01,0.25316083,-0.30602655,-14.24610729181494,0.24303194234503414,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000e_0,2017-05-01,0.27046472,-0.3221368,-14.746445263229544,0.24792567434616367,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000010_0,2017-05-01,0.22762807,-0.29692966,-15.525565829742542,0.2727943868557416,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000_0,2017-06-01,0.2539776,-0.28969696,-13.525351937790152,0.3434616135756658,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002_0,2017-06-01,0.18311433,-0.2614009,-14.495608952757944,0.3802759261378506,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004_0,2017-06-01,0.2174429,-0.2761194,-14.895732415356274,0.3423926401078154,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006_0,2017-06-01,0.22657807,-0.26698697,-14.126160187569027,0.3028968141133214,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000008_0,2017-06-01,0.21444991,-0.2539844,-14.16784742000046,0.3118633033878786,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000a_0,2017-06-01,0.17397079,-0.23498183,-17.438637159190193,0.37827384260612046,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000c_0,2017-06-01,0.2030492,-0.24355301,-15.330590428264866,0.29360517706607286,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000e_0,2017-06-01,0.22138965,-0.25692254,-16.22644894060268,0.3006847186007297,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000010_0,2017-06-01,0.18678527,-0.24037185,-15.673642860248194,0.3302362790488047,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000_0,2017-07-01,0.1978099,-0.26512456,-12.86555171312472,0.37765253871780075,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002_0,2017-07-01,0.15434393,-0.23767346,-15.301738527861861,0.39499639871776043,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004_0,2017-07-01,0.18973747,-0.26003158,-14.113922593589493,0.35190342425159776,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006_0,2017-07-01,0.22023422,-0.27606735,-14.613713338456694,0.31045671195836627,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008_0,2017-07-01,0.19908987,-0.25241894,-13.516666568182858,0.32092865250706426,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000a_0,2017-07-01,0.16838858,-0.24098618,-16.163723607981154,0.38054732951368875,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000c_0,2017-07-01,0.19216898,-0.24341752,-15.928327455261469,0.30216657657656315,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000e_0,2017-07-01,0.20763643,-0.25955948,-13.69693529743495,0.3059805957899945,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000010_0,2017-07-01,0.18129404,-0.23654652,-15.691733182382183,0.33048128540055033,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000_0,2017-08-01,0.1620463,-0.2541641,-13.793433375835871,0.3827689120082769,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000002_0,2017-08-01,0.14097798,-0.23376623,-16.901830086201613,0.3911057146092345,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000004_0,2017-08-01,0.1694125,-0.25567424,-15.500755548433956,0.3497869065588362,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000006_0,2017-08-01,0.20419203,-0.26446575,-13.421057904230214,0.3070850696468326,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000008_0,2017-08-01,0.18747874,-0.24955246,-14.078127877779758,0.3124060818870209,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000a_0,2017-08-01,0.1573457,-0.23271605,-16.995638961983907,0.35956874168926306,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000c_0,2017-08-01,0.18287373,-0.2411955,-14.398904106576325,0.2916857212823418,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000e_0,2017-08-01,0.19488817,-0.25737765,-14.95360031516164,0.2968745189469787,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000010_0,2017-08-01,0.1754386,-0.24517512,-15.4996151633283,0.3169359556755907,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000_0,2018-05-01,0.30696133,-0.37343243,-9.605043355487375,0.20755914819636354,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000002_0,2018-05-01,0.332001,-0.41846237,-11.724076040597602,0.18495173694777783,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000004_0,2018-05-01,0.34507605,-0.41911867,-11.405818105996406,0.18026950657279783,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000006_0,2018-05-01,0.32571694,-0.37442592,-11.791167928910507,0.20180830012663006,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000008_0,2018-05-01,0.2138047,-0.29472503,-10.864664351849466,0.24805628393572296,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000a_0,2018-05-01,0.3664488,-0.29935777,-14.21335999511335,0.09890290693402293,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000c_0,2018-05-01,0.29704848,-0.33500558,-11.444588902684144,0.1807682217647781,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000e_0,2018-05-01,0.2933194,-0.34272555,-12.880437989393304,0.18694047180854123,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000010_0,2018-05-01,0.19894007,-0.27619874,-11.655808155396887,0.25344792364507546,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000000_0,2018-06-01,0.2991249,-0.36310518,-9.174890352524876,0.24719660191839207,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000002_0,2018-06-01,0.26610646,-0.37207285,-11.320239196673258,0.2558784867862087,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000004_0,2018-06-01,0.30811265,-0.36791208,-12.76756249109738,0.2340488837828542,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000006_0,2018-06-01,0.30453563,-0.35913593,-14.891338998795373,0.22729914210132868,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000008_0,2018-06-01,0.21760194,-0.2779661,-11.971638732515334,0.265344191570119,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000a_0,2018-06-01,0.19069767,-0.25546142,-12.787862388098642,0.23656998964365702,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000c_0,2018-06-01,0.25822902,-0.30984557,-14.242642275954655,0.22778937639846156,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000e_0,2018-06-01,0.25675675,-0.32541567,-11.945665382281373,0.23917671291327675,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000010_0,2018-06-01,0.1877898,-0.2755187,-10.377446100363178,0.28128149601422414,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000000_0,2018-07-01,0.25878593,-0.33559322,-14.320374315692057,0.2586314752693492,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000002_0,2018-07-01,0.22744858,-0.33244917,-14.915242363568337,0.2658256007234819,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000004_0,2018-07-01,0.27207282,-0.35406807,-16.017016444336953,0.23954168739490836,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000006_0,2018-07-01,0.2745614,-0.34257334,-16.00757481356832,0.2301866416628037,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000008_0,2018-07-01,0.19630873,-0.26362428,-15.482921730517031,0.25910739086332524,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000a_0,2018-07-01,0.18942383,-0.25766742,-13.913081267988805,0.26204049305403165,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000c_0,2018-07-01,0.23076923,-0.30055192,-13.982678017860128,0.22659633712838342,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000e_0,2018-07-01,0.23680523,-0.3031496,-16.209976721600913,0.23250997828050304,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000010_0,2018-07-01,0.2065601,-0.27344435,-13.647586159792993,0.26316276332338506,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000000_0,2018-08-01,0.25283894,-0.3351445,-12.919541268815301,0.23471280322981958,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000002_0,2018-08-01,0.25163478,-0.350405,-14.291579582883429,0.2275876204893403,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000004_0,2018-08-01,0.31877497,-0.37861916,-14.586278900137227,0.19356731387297804,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000006_0,2018-08-01,0.33333334,-0.3959965,-15.705723992680731,0.18718273157532456,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000008_0,2018-08-01,0.25199896,-0.3349835,-15.75565555199914,0.21624638725305909,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000a_0,2018-08-01,0.360108,-0.36795655,-13.805862050826779,0.12876536801485094,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000c_0,2018-08-01,0.32362255,-0.37749216,-16.693968789441115,0.16424883561231113,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000e_0,2018-08-01,0.3080301,-0.3672131,-13.984980507789363,0.16915028820548902,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000010_0,2018-08-01,0.26702997,-0.35017422,-13.667389923836033,0.20205809808072528,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000000_0,2019-05-01,0.4714152,-0.49381542,-8.830476574305308,0.16295128106277654,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000002_0,2019-05-01,0.4502924,-0.50645405,-9.761465800287102,0.16177020739307965,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000004_0,2019-05-01,0.48212352,-0.5229613,-11.574263685804105,0.14828351223247985,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000006_0,2019-05-01,0.4929368,-0.5258359,-11.482029495831469,0.1534249979631742,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000008_0,2019-05-01,0.33528265,-0.38313982,-9.94589436080258,0.19535792791693918,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000a_0,2019-05-01,0.28526926,-0.3616219,-11.429795314586993,0.22898886435807309,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000c_0,2019-05-01,0.38217214,-0.39648032,-12.22388480904392,0.17505559117034794,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000e_0,2019-05-01,0.41799486,-0.4379562,-12.609755578744032,0.17659728197228858,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000010_0,2019-05-01,0.2949956,-0.35259056,-11.397601845690154,0.22923420338160708,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000000_0,2019-06-01,0.347207,-0.39709222,-10.01799725839187,0.2149012563946521,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000002_0,2019-06-01,0.31992042,-0.39031208,-10.532930542958912,0.2181062585071781,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000004_0,2019-06-01,0.35012105,-0.39330333,-10.90275127588617,0.19287363738987245,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000006_0,2019-06-01,0.33449563,-0.38057202,-11.839967859528564,0.19057586415913216,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000008_0,2019-06-01,0.26784882,-0.3331698,-10.88369758142608,0.22733864607672846,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000a_0,2019-06-01,0.25809696,-0.32331783,-12.516518150654932,0.256646994917143,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000c_0,2019-06-01,0.29167637,-0.32821864,-10.791678764792893,0.21797779703446865,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000e_0,2019-06-01,0.2860771,-0.32492864,-11.110828406052624,0.22901539249578837,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000010_0,2019-06-01,0.26356944,-0.32003844,-11.218574452353455,0.23798187956228936,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000000_0,2019-07-01,0.23355314,-0.27885532,-13.910965807839542,0.33103043666708354,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000002_0,2019-07-01,0.17804551,-0.24980274,-14.624986509709359,0.3536093395259803,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
